author,nb_commentaires,total_likes,nb_reponses,score_influence
@AbelMouhtaram-c3y,1,1,0,3
@NajqkKakaja,1,1,0,3
@NoureddineChaib915,1,1,0,3
@dixpears1081,3,0,0,3
@donpabloclark,1,1,0,3
@dead0show,3,0,0,3
@decoyoctopus2005,1,1,0,3
@dabaraj1859,1,1,0,3
@chubaka-1982,3,0,0,3
@crackthefoundation_,1,1,0,3
@everyday3150,3,0,0,3
@eljirizakaria9104,1,1,0,3
@globalismoblackman,3,0,0,3
@formsab257,3,0,0,3
@fdama,1,1,0,3
@LInaD-rh1cr,1,1,0,3
@superart8041,1,1,0,3
@sp1nks248,1,1,0,3
@ssimkaali1324,3,0,0,3
@mineropaul,1,1,0,3
@mcknee2910,1,1,0,3
@moorish8103,1,1,0,3
@mitzelderabdenour,3,0,0,3
@Mohammed_ALG,1,1,0,3
@Maroerotv3722,1,1,0,3
@MatheoLegrand-d5w,1,1,0,3
@MatthewBurns8,3,0,0,3
@MO20024,1,1,0,3
@reda1668,3,0,0,3
@azzeddinebennani8910,1,1,0,3
@babacool3063,1,1,0,3
@barberousse-x7m,1,1,0,3
@chtaibihamza,3,0,0,3
@amarmoumou973,1,1,0,3
@amineboum9493,3,0,0,3
@amritrao7687,3,0,0,3
@normandieelouafi5286,3,0,0,3
@nassiben217,1,1,0,3
@batmous,3,0,0,3
@baybayview1231,1,1,0,3
@MrBrupan,1,1,0,3
@MusaMuhamedrasd,1,1,0,3
@MouradBouchikhi7,1,1,0,3
@seddikazzouz5997,1,1,0,3
@rlynotabot,3,0,0,3
@melissacallan3991,3,0,0,3
@hfredydl,3,0,0,3
@Jompabompa,3,0,0,3
@K24..,3,0,0,3
@KD-zi2fi,1,1,0,3
@JayD2006,3,0,0,3
@MAROCMAROCAIN007,1,1,0,3
@arigrande178,3,0,0,3
@andrdeci4583,1,1,0,3
@andreamuraskin5364,3,0,0,3
@SHVRWK,3,0,0,3
@R4tlr,3,0,0,3
@Pourperso,3,0,0,3
@Pourtoi224,1,1,0,3
@SuperRguibi,3,0,0,3
@SimoFaid-p2y,1,1,0,3
@oy8405,1,1,0,3
@pebos1234567890,3,0,0,3
@abdilion5,1,1,0,3
@ZackPopo-fr2so,1,1,0,3
@YoutubeMichael538,3,0,0,3
@ahmedabakar5166,3,0,0,3
@adiesel30,1,1,0,3
@TonyMontanaTony-z6h,1,1,0,3
@Trenchbabymk1234,1,1,0,3
@ramirami5466,3,0,0,3
@raphayelrazon3075,3,0,0,3
@ShaneWKenneth,3,0,0,3
@BrotherNuh,1,1,0,3
@GG-bn9ij,1,1,0,3
@hamza-t2c,3,0,0,3
@haouribi,3,0,0,3
@hafidbouzerar3329,3,0,0,3
@jeremiahmorgan8772,3,0,0,3
@jf3457,3,0,0,3
@johnCliff-k6r,1,1,0,3
@jbenkirane55,1,1,0,3
@jeankader5378,1,1,0,3
@iliasbt700,1,1,0,3
@zarijoco1040,1,1,0,3
@tiredstoner,3,0,0,3
@josephchoe,3,0,0,3
@josekingro_9940,1,1,0,3
@kadour9807,1,1,0,3
@vladimirskokan,1,1,0,3
@uuuuuuuu-ko8cr,1,1,0,3
@AI-212,3,0,0,3
@walidjelloul485,3,0,0,3
@jonashulm5510,2,0,0,2
@johnpringle5199,2,0,0,2
@zinocrb,2,0,0,2
@Azougagh48,2,0,0,2
@BabaBest2000,2,0,0,2
@Brabus087,2,0,0,2
@DA.PrismO,2,0,0,2
@Anwar157,2,0,0,2
@Aziz-w5w8s,2,0,0,2
@NahinAhmed-i6i,2,0,0,2
